State Name,Year,Chronic respiratory diseases,Carbon monoxide,Nitrogen dioxide (NO2),Outdoor Temperature,Ozone,PM10 Total 0-10um STP,Sulfur dioxide
Alabama,1982,42.723236554358,1.1785771,31.690772999999997,51.77776854776222,0.0465477916666666,29.92460325,10.32312960294118
Alabama,1983,43.3837018573946,1.491551125,24.776427982512573,94.25,0.0494352749999999,35.640560596031754,10.839508515151515
Alabama,1984,44.6959479029339,1.3798995,25.928997571148034,58.79121695225175,0.0467443214285714,35.40520423023809,8.745029624999999
Alabama,1985,46.290101610517205,1.19679025,25.751819171213175,63.39047689486501,0.0459926785714285,43.58819785714286,8.325577826923077
Alabama,1986,47.223112755885296,1.3824305000000001,26.415522391174477,61.34728517317785,0.0511078181818181,45.21307363636363,10.34165830357143
Alabama,1987,47.5199956697479,1.3988004444444444,27.621264207004906,50.660848000034505,0.04895069999999999,40.96777254999999,11.372641727272727
Alabama,1988,49.150882324901104,1.2002483333333334,26.78419847491175,50.12727384519634,0.0495650208333333,36.3778295,9.840127361111113
Alabama,1989,49.728880302616396,1.1570936666666671,26.391189401941357,49.5068191656275,0.0424384318181818,29.77962656521739,9.271430071428572
Alabama,1990,49.948329727227296,1.10027175,24.773156343167468,50.19346447138538,0.0498456538461538,30.38822297222222,9.728255906249998
Alabama,1991,51.5233169766459,0.9819734166666668,22.0596605,52.73878232800517,0.0405460535714285,29.1133875,8.779975916666666
Alabama,1992,51.237975180039605,1.0072368333333337,15.02773125,50.295154167256406,0.0420251785714285,27.336037540540534,8.572000625000003
Alabama,1993,54.108179705639294,1.0127381666666666,18.95083275,51.26053746300122,0.0457680625,26.15376273170732,11.052936666666666
Alabama,1994,55.8864766330396,0.9421787,19.092385500000002,52.74866291823079,0.0432710147058823,26.16487465,10.71251175
Alabama,1995,56.9954363080397,0.6970740833333333,17.85367675,53.62107512287568,0.0482239999999999,26.28047558695653,8.966617999999999
Alabama,1996,58.152082092708,0.7129209285714285,16.409573499999997,52.4509131440076,0.0482834166666666,23.05521089130435,6.661443416666668
Alabama,1997,59.779875448285,0.7203020833333333,15.52122925,53.428654229223966,0.0484696249999999,24.19154237777777,7.612628833333333
Alabama,1998,61.808933434507296,0.84002825,14.7542645,56.10619957060072,0.0528293461538461,28.39389616,7.610050499999999
Alabama,1999,63.988204211836795,0.98613525,16.4574825,55.26696778127489,0.0536594999999999,28.05781740909091,9.22850935
Alabama,2000,65.6509092386711,0.9744982499999998,17.527067000000002,54.21129007856854,0.053497725,29.75294726829268,6.7310411000000006
Alabama,2001,67.1032326146774,1.1878743333333333,14.365445499999998,55.244576776871824,0.0473676477272727,26.15272102380952,4.99831425
Alabama,2002,68.5965470255251,0.66948,10.5349465,67.915935,0.0467594399999999,23.515397162790688,3.94309995
Alabama,2003,69.2627388076313,0.405995,10.37142975,68.1310364,0.0456920648148148,26.51782951428572,4.6335122083333316
Alabama,2004,68.8351783406994,0.5300903333333332,8.46920025,53.64315060359075,0.0452564285714285,24.991559057142858,3.400410550000001
Alabama,2005,69.20626430366761,0.6901618333333334,8.6987885,54.24227790164079,0.0474382407407407,27.28403687878787,3.98254075
Alabama,2006,69.5411648713723,0.7311671666666667,16.525087225222347,54.98623036690184,0.0511516018518518,25.519572624999995,3.6376691875
Alabama,2007,70.0550097530805,0.6234926666666666,15.718354622293106,55.35690898001624,0.0515382443181818,30.432107532258065,4.044766
Alabama,2008,70.5723256035922,0.6405781666666667,15.279049507303286,53.573608109701006,0.0456336249999999,24.633347375,4.77913525
Alabama,2009,70.70388221004609,0.5334043333333333,14.140417388952494,74.741516,0.03995404,20.073889708333333,2.61789225
Alabama,2010,70.8581953375713,0.3660053333333333,13.390959337011447,54.15189933691227,0.0479344134615384,24.390809695652177,2.71219825
Alabama,2011,71.7979676591457,0.339892625,13.5663558208884,18.787423999999998,0.04676546,21.68627456,2.70448375
Alabama,2012,72.03369864621641,0.3628434999999999,13.634534122229114,10.494578,0.0455983749999999,18.46874342105263,2.865251125
Alabama,2013,72.6657960984693,0.33693375,17.602023000000003,16.833078,0.0409836739130434,17.13254908,1.4538789230769231
Alabama,2014,68.6,0.36455075,18.6645175,62.96906,0.0422094891304348,18.50998388,2.3431130000000002
Alabama,2014,73.4422711283023,0.36455075,18.6645175,62.96906,0.0422094891304348,18.50998388,2.3431130000000002
Alabama,2015,71.4,0.38227075,17.87053475,65.131563,0.0403143369565217,18.234949260869566,1.79378475
Alabama,2016,71.2,0.3337286666666666,18.87529475,67.99265533333333,0.0441092173913043,18.16925478260869,1.649748
Alabama,2017,72.8,0.2919965,16.1336905,66.48681833333335,0.04062680434782601,16.44565568181818,2.3828770476190475
Alabama,2018,73.0,0.2537651666666666,15.80240725,65.510559,0.0415099545454545,16.635303500000006,1.8016485416666663
Alabama,2019,70.6,0.296873,17.8212205,66.14263666666666,0.0424634318181818,19.185690900000004,1.8251474166666668
Alabama,2020,77.00386810302734,0.5606241226196289,18.659761428833008,54.48136901855469,0.045480772852897644,23.160627365112305,1.9209891557693481
Alabama,2021,78.58039093017578,0.5476886034011841,18.635602951049805,65.1322021484375,0.04593784734606743,19.561798095703125,1.9115396738052368
Alabama,2022,78.9758529663086,0.5590578317642212,18.626211166381836,67.62437438964844,0.0457284078001976,15.291295051574707,2.108461380004883
Alabama,2023,80.03622436523438,0.5462230443954468,18.105093002319336,65.71916961669922,0.04162980243563652,13.51880168914795,0.37959203124046326
Alabama,2024,73.21418762207031,0.559903621673584,17.884729385375977,45.873313903808594,0.04271669685840607,15.345993995666504,1.4689069986343384
