State Name,Year,Asbestosis,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Coal workers pneumoconiosis,Interstitial lung disease and pulmonary sarcoidosis,Other chronic respiratory diseases,Other pneumoconiosis,Pneumoconiosis,Silicosis,Carbon monoxide,Nitrogen dioxide (NO2),Outdoor Temperature,Ozone,PM10 Total 0-10um STP,Sulfur dioxide
Delaware,2011,0.406527718672138,1.12822806189572,44.7176488023132,52.9191266480146,0.0298107457989676,5.72103801374895,0.736078671041626,0.165120064320597,0.616133099015129,0.0146745702234256,0.285842,17.3680125,64.498786,0.0470092857142857,20.90287521254147,2.1069817500000005
Delaware,2012,0.40297736307238,1.12057011516555,43.0321970751212,51.2275651452705,0.0308021749278203,5.72996943893043,0.734416441358461,0.162178185409052,0.610412074694846,0.0144543512855938,0.27632375,10.76735025,58.383413,0.0480121071428571,21.06581386920653,1.1385350625
Delaware,2013,0.404201427258019,1.11574330944217,43.5955779961465,51.8061467780438,0.0319113307840568,5.7487468561103,0.730248138818496,0.165248822683106,0.615830477526344,0.0144688968011622,0.29403,10.132677666666666,56.642795,0.0441642857142857,20.04663831573525,0.99114835
Delaware,2014,0.415858171799922,1.10406400955492,43.3286748032038,51.7220485872545,0.0341984718600883,5.94011913761938,0.722808861584651,0.162066621406547,0.626381775291797,0.0142585102252402,0.236395,10.520776333333334,53.890395,0.0447164642857142,20.22216607204974,1.0485004
Florida,1982,0.0615460473604337,1.58528287521867,31.8785482752029,36.7951510530899,0.0851578539579176,2.66506142269898,0.387307311113166,0.0813202671177685,0.278951168856242,0.0509270004201225,1.2619814516129029,16.92409480434782,74.678589,0.0364027083333333,29.92460325,6.011768200000005
Florida,1983,0.0659692727165617,1.59538968408567,33.2018468120545,38.2096583073738,0.0921625709495422,2.72946596812474,0.393416463968539,0.0841727671162118,0.289539379140286,0.0472347683579704,1.143040465517241,18.016169824999995,75.5251545,0.0373544722222222,35.64056059603175,4.927025030000001
Florida,1984,0.0703491649262255,1.56719304449756,33.2163460498832,38.217742372694,0.0843984308108573,2.75681778530369,0.392676149076334,0.0852511599630897,0.28470934393321,0.0447105882330371,1.1129212321428572,20.815240000000006,58.79121695225175,0.0408532395833333,35.40520423023809,8.706783758928571
Florida,1985,0.0762376332046639,1.58018280451097,34.2153133452395,39.3258577194751,0.0891578569011463,2.83880453344337,0.397586995294475,0.0865678422236524,0.293970040986743,0.0420067086572804,1.0713203793103443,18.20612343478261,63.39047689486501,0.0388557124999999,35.412006500000004,6.90181287962963
Florida,1986,0.0823534070602315,1.59353650462791,34.8314515282882,40.0095211399394,0.089681267596732,2.89074032994918,0.395900008246568,0.086813947750844,0.297892768827494,0.0390441464196861,0.9274973,21.27334507142857,61.34728517317785,0.0393256363636363,32.4233945,8.105811476744185
Florida,1987,0.0873055578143422,1.59802423095098,34.8509471774788,40.0661661833176,0.0850149705868644,2.93516697046448,0.387640134355193,0.0856658880731059,0.294387670068114,0.0364012535938016,1.0224835344827583,26.3080664,74.538736,0.0415947083333333,32.881829800000006,7.454215490196081
Florida,1988,0.0944370232335837,1.62467549182682,35.5831339850816,40.9003977667624,0.0811543941623386,3.00703672172283,0.389462889211928,0.0867733897437251,0.296088678919226,0.0337238717795785,1.0560952,22.90395521428572,50.12727384519634,0.0408389074074073,29.3403209,7.124801489795916
Florida,1989,0.101861055613616,1.63852817248885,35.6773992618059,41.0874747074915,0.0833078905470385,3.08241699038904,0.388218839565787,0.0841307405396147,0.30091144324195,0.0316117565416806,1.09068946,21.715425375,77.918313,0.0392809423076922,29.75309491666667,7.925622309090909
Florida,1990,0.105540360233428,1.62915031929475,35.3545707683204,40.7304638771452,0.0725509761431583,3.08058857974667,0.378267767655563,0.0810457318303858,0.287886442127837,0.0287493739208646,0.990779,19.030560000000005,73.984991,0.0414019193548387,27.519431863636363,7.310243388888889
Florida,1991,0.108492365023802,1.64128616094698,35.9590207754807,41.4186416793177,0.0733466312507536,3.15253313765062,0.377149794862621,0.080203109913353,0.288651810376689,0.0266097041887803,0.9102341153846154,17.74279611111111,73.810306,0.0376489516129032,25.39240772,7.066435061224487
Florida,1992,0.111304193473522,1.64044966553667,36.963630189192,42.4680763663879,0.072676526951453,3.20702584799313,0.369458436585954,0.0797316146528373,0.287512227080093,0.0237998920022816,0.8507758214285713,18.01668488888889,74.13166,0.0384734078947368,21.90904745762712,7.449438425925926
Florida,1993,0.1176027853751,1.66983085784211,38.5965517721636,44.2680323454228,0.0688781960164185,3.33789174182655,0.372858497687499,0.082119098341342,0.290899475903052,0.0222993961701921,0.8446282758620689,18.933743944444444,74.935566,0.0400398618421052,22.96212977777777,7.316912633928575
Florida,1994,0.125114852280035,1.67201543985305,38.9577376949205,44.7201901121965,0.064558471929167,3.42684714121903,0.370234480413271,0.0828025303212845,0.293355355790673,0.0208795012601863,0.8005264137931033,16.8584045,74.934733,0.0378899342105263,21.074649573529413,6.949824965517249
Florida,1995,0.131336672961858,1.69148898132906,40.3424958504552,46.2714989021695,0.0644248298994004,3.5626242145367,0.376369221385394,0.0834843939794178,0.298520634463154,0.0192747376224783,0.8525879827586206,18.214141388888887,75.184392,0.040253225609756,20.35958178082192,5.605112767241381
Florida,1996,0.135294477704382,1.65392028397888,40.3432622650917,46.2854886502399,0.0604213967632023,3.61298145296395,0.378786052197747,0.083656214169742,0.29653859600763,0.0171665073703037,0.7788799666666666,17.084679200000004,72.434968,0.0401195535714285,20.917539500000007,6.021998333333333
Florida,1997,0.139033600402346,1.60285343499245,40.7557259558241,46.7444121431515,0.0586050363042,3.70352748684885,0.385250737969761,0.0840781480171039,0.297054527516322,0.015337742792673,0.7713420172413794,17.265594500000002,73.899828,0.0416464261363636,21.179380053333336,5.844156249999999
Florida,1998,0.147021643845191,1.52781278838085,41.1011251850499,47.1592472640382,0.0548223843925126,3.82091146391782,0.407546790344022,0.0860912339268467,0.301851036345641,0.0139157741810906,0.8010051666666667,16.51310718181818,74.13684,0.0432242368421052,23.22880947393365,6.245472827868856
Florida,1999,0.15852194945871,1.46044449228269,42.7931917843609,49.0500594489097,0.0530166097545648,4.02892283089654,0.450003376399157,0.0922228379782871,0.317496964970436,0.013735567778874,0.7391529615384616,17.568507615384615,70.417904,0.0455745957446808,21.19380328767124,6.35883010655738
Florida,2000,0.166742098846412,1.38554848532626,42.5774729992124,48.9242385421828,0.0480763045275473,4.16555778284107,0.474810776830593,0.0938588592385921,0.320848497972509,0.012171235359958,0.6866391874999999,16.959457500000003,73.32935,0.04695,21.73849335064933,5.883434080357143
Florida,2001,0.169813055331451,1.35517179414762,43.4500582924348,49.9572655636025,0.0438589323839961,4.33009350999615,0.501606625214431,0.0949660105655745,0.320335341809533,0.0116973435285105,0.6525957954545454,15.873294857142856,73.340766,0.0429133302752293,22.341477223076925,5.274982413793105
Florida,2002,0.172127699641872,1.29338319731601,43.621104856145,50.1003378021607,0.0424219914289085,4.35141698039117,0.513486437652907,0.0951121861611827,0.320946330655611,0.0112844534236479,0.6162450952380952,15.43178592857143,74.227836,0.0407911694915254,19.235009259259257,5.1761620973451326
Florida,2003,0.173359565144014,1.23286275839468,43.2988541529822,49.828618505785,0.0409370442564338,4.44763914332147,0.52985941129843,0.0942890565813835,0.319403039788227,0.0108173738063953,0.6312600227272729,14.793230892857148,73.900834,0.0402004666666666,20.932393024096392,4.20982666055046
Florida,2004,0.168251068549353,1.15737144344212,42.8502681409016,49.3437966323965,0.0355411326381684,4.49179327488494,0.538637747348065,0.0923283122070824,0.305726025819708,0.0096055124251041,0.6422054090909092,14.021208366666665,74.208594,0.043412831967213,22.04737624637682,3.361841447619049
Florida,2005,0.165398588039634,1.11773115962644,42.8054190576641,49.3138937575072,0.0344214675564274,4.53426357861346,0.556160961303442,0.0915760170160971,0.300319000299797,0.0089229276876379,0.5350747045454544,13.632956178571428,73.820582,0.0434161101694915,20.955492132352934,3.3143397904761898
Florida,2006,0.160753773897446,1.06557020613336,42.2144177868784,48.7229465370201,0.0304372789717777,4.58622182920753,0.566738244249344,0.090522188150493,0.289998470551527,0.0082852295318101,0.5211763636363638,13.389709038461538,72.72656850000001,0.046569724137931,21.7782011875,2.940335759615386
Florida,2007,0.15808246293971,1.01622293739321,42.0168030385456,48.4553675980996,0.0283734658505388,4.56817010713408,0.571878445889141,0.0880583121731429,0.282293069137517,0.0077788281741258,0.4872310999999999,11.908367153846156,75.1661105,0.0445816083333333,20.960678388888883,2.676932052083334
Florida,2008,0.15568562304963,0.990241132000787,42.188185775903,48.6384754880754,0.0269730562010351,4.60212621373819,0.580472184550518,0.0872753371267389,0.277450181882977,0.0075161655055727,0.4758196250000002,10.519810178571428,72.69823249999999,0.0402678136792453,19.88301274242424,2.258500284090908
Florida,2009,0.15292136236332,0.983508376492463,42.2045736972965,48.6915008123167,0.0272360031842112,4.6443346222306,0.585985319314521,0.0860987067885326,0.273098796982583,0.0068427246465192,0.3754777692307692,10.281514041666668,72.5846645,0.0387897324561403,17.590352877551016,1.7825139999999997
Florida,2010,0.148640542532764,0.950931543209869,41.921487465139,48.3523199533383,0.0263678690373933,4.62681911455976,0.586817121226142,0.0849587218377709,0.266264709203491,0.0062975757955627,0.2927860909090909,11.130384636363637,71.0832135,0.0412824788135593,17.758603955555554,1.5795898300000002
Florida,2011,0.14653184267996,0.937647959934443,41.1814029695451,47.6215102864416,0.0258920640724818,4.65315948390317,0.584763111402486,0.0860552744453111,0.264536761656462,0.0060575804587096,0.22838175,9.677062500000002,74.77090566666668,0.0416867838983051,17.22207852380953,1.593682852631579
Florida,2012,0.143025273037727,0.936674393155829,41.0705622680278,47.5069876180721,0.024811761370946,4.65355306969539,0.587680387295077,0.0849591947746713,0.258517499898014,0.0057212707146697,0.2156247272727273,9.908691555555556,73.00827,0.0389040127118644,17.590081799999993,0.9963682941176468
Florida,2013,0.142483807438726,0.930005007957562,41.291681839338,47.6895326752697,0.0253616131992877,4.62384378754567,0.584505744467069,0.0860504456826207,0.259496295961376,0.0056004296407424,0.1791191,8.745493277777776,72.4318385,0.0376688070175438,16.4872545,0.8355232999999999
